begin,v
2025-05-19T10:00+02:00,681
2025-05-19T10:01+02:00,680
2025-05-19T10:02+02:00,680
2025-05-19T10:03+02:00,679
2025-05-19T10:04+02:00,678
2025-05-19T10:05+02:00,677
2025-05-19T10:06+02:00,677
2025-05-19T10:07+02:00,676
2025-05-19T10:08+02:00,675
2025-05-19T10:09+02:00,674
2025-05-19T10:10+02:00,673
2025-05-19T10:11+02:00,672
2025-05-19T10:12+02:00,672
2025-05-19T10:13+02:00,671
2025-05-19T10:14+02:00,670
2025-05-19T10:15+02:00,669
2025-05-19T10:16+02:00,668
2025-05-19T10:17+02:00,667
2025-05-19T10:18+02:00,666
2025-05-19T10:19+02:00,665
2025-05-19T10:20+02:00,665
2025-05-19T10:21+02:00,664
2025-05-19T10:22+02:00,662
2025-05-19T10:23+02:00,661
2025-05-19T10:24+02:00,660
2025-05-19T10:25+02:00,659
2025-05-19T10:26+02:00,657
2025-05-19T10:27+02:00,656
2025-05-19T10:28+02:00,655
2025-05-19T10:29+02:00,654
2025-05-19T10:30+02:00,654
2025-05-19T10:31+02:00,652
2025-05-19T10:32+02:00,650
2025-05-19T10:33+02:00,649
2025-05-19T10:34+02:00,648
2025-05-19T10:35+02:00,647
2025-05-19T10:36+02:00,646
2025-05-19T10:37+02:00,644
2025-05-19T10:38+02:00,643
2025-05-19T10:39+02:00,642
2025-05-19T10:40+02:00,640
2025-05-19T10:41+02:00,639
2025-05-19T10:42+02:00,637
2025-05-19T10:43+02:00,636
2025-05-19T10:44+02:00,635
2025-05-19T10:45+02:00,634
2025-05-19T10:46+02:00,632
2025-05-19T10:47+02:00,631
2025-05-19T10:48+02:00,630
2025-05-19T10:49+02:00,629
2025-05-19T10:50+02:00,627
2025-05-19T10:51+02:00,625
2025-05-19T10:52+02:00,624
2025-05-19T10:53+02:00,623
2025-05-19T10:54+02:00,621
2025-05-19T10:55+02:00,620
2025-05-19T10:56+02:00,618
2025-05-19T10:57+02:00,616
2025-05-19T10:58+02:00,615
2025-05-19T10:59+02:00,613
2025-05-19T11:00+02:00,612
2025-05-19T11:01+02:00,611
2025-05-19T11:02+02:00,610
2025-05-19T11:03+02:00,608
2025-05-19T11:04+02:00,607
2025-05-19T11:05+02:00,605
2025-05-19T11:06+02:00,603
2025-05-19T11:07+02:00,602
2025-05-19T11:08+02:00,601
2025-05-19T11:09+02:00,600
2025-05-19T11:10+02:00,598
2025-05-19T11:11+02:00,597
2025-05-19T11:12+02:00,596
2025-05-19T11:13+02:00,594
2025-05-19T11:14+02:00,593
2025-05-19T11:15+02:00,591
2025-05-19T11:16+02:00,590
2025-05-19T11:17+02:00,588
2025-05-19T11:18+02:00,587
2025-05-19T11:19+02:00,585
2025-05-19T11:20+02:00,584
2025-05-19T11:21+02:00,583
2025-05-19T11:22+02:00,582
2025-05-19T11:23+02:00,581
2025-05-19T11:24+02:00,579
2025-05-19T11:25+02:00,577
2025-05-19T11:26+02:00,576
2025-05-19T11:27+02:00,575
2025-05-19T11:28+02:00,573
2025-05-19T11:29+02:00,572
2025-05-19T11:30+02:00,570
2025-05-19T11:31+02:00,569
2025-05-19T11:32+02:00,567
2025-05-19T11:33+02:00,566
2025-05-19T11:34+02:00,565
2025-05-19T11:35+02:00,563
2025-05-19T11:36+02:00,562
2025-05-19T11:37+02:00,560
2025-05-19T11:38+02:00,559
2025-05-19T11:39+02:00,557
2025-05-19T11:40+02:00,556
2025-05-19T11:41+02:00,554
2025-05-19T11:42+02:00,553
2025-05-19T11:43+02:00,552
2025-05-19T11:44+02:00,550
2025-05-19T11:45+02:00,549
2025-05-19T11:46+02:00,547
2025-05-19T11:47+02:00,546
2025-05-19T11:48+02:00,545
2025-05-19T11:49+02:00,543
2025-05-19T11:50+02:00,542
2025-05-19T11:51+02:00,540
2025-05-19T11:52+02:00,539
2025-05-19T11:53+02:00,537
2025-05-19T11:54+02:00,536
2025-05-19T11:55+02:00,535
2025-05-19T11:56+02:00,534
2025-05-19T11:57+02:00,532
2025-05-19T11:58+02:00,530
2025-05-19T11:59+02:00,529
2025-05-19T12:00+02:00,528
2025-05-19T12:01+02:00,527
2025-05-19T12:02+02:00,526
2025-05-19T12:03+02:00,525
2025-05-19T12:04+02:00,523
2025-05-19T12:05+02:00,522
2025-05-19T12:06+02:00,521
2025-05-19T12:07+02:00,520
2025-05-19T12:08+02:00,518
2025-05-19T12:09+02:00,517
2025-05-19T12:10+02:00,516
2025-05-19T12:11+02:00,515
2025-05-19T12:12+02:00,514
2025-05-19T12:13+02:00,513
2025-05-19T12:14+02:00,511
2025-05-19T12:15+02:00,510
2025-05-19T12:16+02:00,508
2025-05-19T12:17+02:00,507
2025-05-19T12:18+02:00,506
2025-05-19T12:19+02:00,504
2025-05-19T12:20+02:00,503
2025-05-19T12:21+02:00,502
2025-05-19T12:22+02:00,501
2025-05-19T12:23+02:00,500
2025-05-19T12:24+02:00,500
2025-05-19T12:25+02:00,498
2025-05-19T12:26+02:00,497
2025-05-19T12:27+02:00,495
2025-05-19T12:28+02:00,493
2025-05-19T12:29+02:00,492
2025-05-19T12:30+02:00,490
2025-05-19T12:31+02:00,489
2025-05-19T12:32+02:00,488
2025-05-19T12:33+02:00,487
2025-05-19T12:34+02:00,485
2025-05-19T12:35+02:00,484
2025-05-19T12:36+02:00,483
2025-05-19T12:37+02:00,482
2025-05-19T12:38+02:00,481
2025-05-19T12:39+02:00,480
2025-05-19T12:40+02:00,479
2025-05-19T12:41+02:00,478
2025-05-19T12:42+02:00,477
2025-05-19T12:43+02:00,476
2025-05-19T12:44+02:00,475
2025-05-19T12:45+02:00,474
2025-05-19T12:46+02:00,472
2025-05-19T12:47+02:00,471
2025-05-19T12:48+02:00,470
2025-05-19T12:49+02:00,469
2025-05-19T12:50+02:00,469
2025-05-19T12:51+02:00,469
2025-05-19T12:52+02:00,469
2025-05-19T12:53+02:00,467
2025-05-19T12:54+02:00,466
2025-05-19T12:55+02:00,464
2025-05-19T12:56+02:00,463
2025-05-19T12:57+02:00,461
2025-05-19T12:58+02:00,461
2025-05-19T12:59+02:00,460
2025-05-19T13:00+02:00,459
2025-05-19T13:01+02:00,459
2025-05-19T13:02+02:00,458
2025-05-19T13:03+02:00,456
2025-05-19T13:04+02:00,455
2025-05-19T13:05+02:00,454
2025-05-19T13:06+02:00,453
2025-05-19T13:07+02:00,452
2025-05-19T13:08+02:00,451
2025-05-19T13:09+02:00,450
2025-05-19T13:10+02:00,449
2025-05-19T13:11+02:00,448
2025-05-19T13:12+02:00,447
2025-05-19T13:13+02:00,447
2025-05-19T13:14+02:00,446
2025-05-19T13:15+02:00,444
2025-05-19T13:16+02:00,443
2025-05-19T13:17+02:00,442
2025-05-19T13:18+02:00,440
2025-05-19T13:19+02:00,440
2025-05-19T13:20+02:00,439
2025-05-19T13:21+02:00,438
2025-05-19T13:22+02:00,438
2025-05-19T13:23+02:00,436
2025-05-19T13:24+02:00,436
2025-05-19T13:25+02:00,435
2025-05-19T13:26+02:00,434
2025-05-19T13:27+02:00,433
2025-05-19T13:28+02:00,433
2025-05-19T13:29+02:00,432
2025-05-19T13:30+02:00,431
2025-05-19T13:31+02:00,430
2025-05-19T13:32+02:00,430
2025-05-19T13:33+02:00,429
2025-05-19T13:34+02:00,428
2025-05-19T13:35+02:00,427
2025-05-19T13:36+02:00,426
2025-05-19T13:37+02:00,425
2025-05-19T13:38+02:00,424
2025-05-19T13:39+02:00,423
2025-05-19T13:40+02:00,422
2025-05-19T13:41+02:00,422
2025-05-19T13:42+02:00,420
2025-05-19T13:43+02:00,420
2025-05-19T13:44+02:00,418
2025-05-19T13:45+02:00,418
2025-05-19T13:46+02:00,417
2025-05-19T13:47+02:00,416
